pmon_snapshot(pid,sm,mem,enc,dec,command) - sampled every 1s
#Date        Time         gpu         pid   type     sm    mem    enc    dec    jpg    ofa     fb   ccpm    command 
#YYYYMMDD    HH:MM:SS     Idx           #    C/G      %      %      %      %      %      %     MB     MB    name 
 20260414    10:39:45       1    1119773     C     50     39      -      -      -      -   2104      0    python         
 20260414    10:39:46       0    1119772     C     50     40      -      -      -      -   2104      0    python         
 20260414    10:39:46       1    1119773     C     49     39      -      -      -      -   2104      0    python         
 20260414    10:39:47       0    1119772     C     48     38      -      -      -      -   2104      0    python         
 20260414    10:39:47       1    1119773     C     52     41      -      -      -      -   2104      0    python         
 20260414    10:39:48       0    1119772     C     46     36      -      -      -      -   2104      0    python         
 20260414    10:39:48       1    1119773     C     47     37      -      -      -      -   2104      0    python         
 20260414    10:39:49       0    1119772     C     45     35      -      -      -      -   2104      0    python         
 20260414    10:39:49       1    1119773     C     47     36      -      -      -      -   2104      0    python         
 20260414    10:39:50       0    1119772     C     46     36      -      -      -      -   2104      0    python         
 20260414    10:39:50       1    1119773     C     42     32      -      -      -      -   2104      0    python         
 20260414    10:39:51       0    1119772     C     42     33      -      -      -      -   2104      0    python         
 20260414    10:39:51       1    1119773     C     39     31      -      -      -      -   2104      0    python         
 20260414    10:39:52       0    1119772     C     40     32      -      -      -      -   2104      0    python         
 20260414    10:39:52       1    1119773     C     39     32      -      -      -      -   2104      0    python         
 20260414    10:39:53       0    1119772     C     45     36      -      -      -      -   2104      0    python         
 20260414    10:39:53       1    1119773     C     46     36      -      -      -      -   2104      0    python         
 20260414    10:39:55       0    1119772     C     51     40      -      -      -      -   2104      0    python         
 20260414    10:39:55       1    1119773     C     47     37      -      -      -      -   2104      0    python         
 20260414    10:39:56       0    1119772     C     49     39      -      -      -      -   2104      0    python         
 20260414    10:39:56       1    1119773     C     46     36      -      -      -      -   2104      0    python         
 20260414    10:39:57       0    1119772     C     45     36      -      -      -      -   2104      0    python         
 20260414    10:39:57       1    1119773     C     45     35      -      -      -      -   2104      0    python         
 20260414    10:39:58       0    1119772     C     45     36      -      -      -      -   2104      0    python         
 20260414    10:39:58       1    1119773     C     44     35      -      -      -      -   2104      0    python         
 20260414    10:39:59       0    1119772     C     44     35      -      -      -      -   2104      0    python         
 20260414    10:39:59       1    1119773     C     43     34      -      -      -      -   2104      0    python         
 20260414    10:40:00       0    1119772     C     45     36      -      -      -      -   2104      0    python         
 20260414    10:40:00       1    1119773     C     45     35      -      -      -      -   2104      0    python         
 20260414    10:40:01       0    1119772     C     47     37      -      -      -      -   2104      0    python         
 20260414    10:40:01       1    1119773     C     45     36      -      -      -      -   2104      0    python         
 20260414    10:40:02       0    1119772     C     49     39      -      -      -      -   2104      0    python         
 20260414    10:40:02       1    1119773     C     46     37      -      -      -      -   2104      0    python         
 20260414    10:40:03       0    1119772     C     48     38      -      -      -      -   2104      0    python         
 20260414    10:40:03       1    1119773     C     47     38      -      -      -      -   2104      0    python         
#Date        Time         gpu         pid   type     sm    mem    enc    dec    jpg    ofa     fb   ccpm    command 
#YYYYMMDD    HH:MM:SS     Idx           #    C/G      %      %      %      %      %      %     MB     MB    name 
 20260414    10:40:04       0    1119772     C     43     35      -      -      -      -   2104      0    python         
 20260414    10:40:04       1    1119773     C     53     41      -      -      -      -   2104      0    python         
 20260414    10:40:05       0    1119772     C     49     39      -      -      -      -   2104      0    python         
 20260414    10:40:05       1    1119773     C     51     40      -      -      -      -   2104      0    python         
 20260414    10:40:06       0    1119772     C     50     39      -      -      -      -   2104      0    python         
 20260414    10:40:06       1    1119773     C     52     41      -      -      -      -   2104      0    python         
 20260414    10:40:07       0    1119772     C     49     39      -      -      -      -   2104      0    python         
 20260414    10:40:07       1    1119773     C     52     40      -      -      -      -   2104      0    python         
 20260414    10:40:08       0    1119772     C     50     39      -      -      -      -   2104      0    python         
 20260414    10:40:08       1    1119773     C     51     40      -      -      -      -   2104      0    python         
 20260414    10:40:09       0    1119772     C     50     39      -      -      -      -   2104      0    python         
 20260414    10:40:09       1    1119773     C     52     40      -      -      -      -   2104      0    python         
 20260414    10:40:10       0    1119772     C     50     40      -      -      -      -   2104      0    python         
 20260414    10:40:10       1    1119773     C     51     40      -      -      -      -   2104      0    python         
 20260414    10:40:11       0    1119772     C     54     42      -      -      -      -   2104      0    python         
 20260414    10:40:11       1    1119773     C     50     40      -      -      -      -   2104      0    python         
 20260414    10:40:12       0    1119772     C     52     40      -      -      -      -   2104      0    python         
 20260414    10:40:12       1    1119773     C     42     34      -      -      -      -   2104      0    python         
 20260414    10:40:14       0    1119772     C     36     29      -      -      -      -   2104      0    python         
 20260414    10:40:14       1    1119773     C     44     34      -      -      -      -   2104      0    python         
 20260414    10:40:15       0    1119772     C     52     41      -      -      -      -   2104      0    python         
 20260414    10:40:15       1    1119773     C     48     38      -      -      -      -   2104      0    python         
 20260414    10:40:16       0    1119772     C     52     41      -      -      -      -   2104      0    python         
 20260414    10:40:16       1    1119773     C     48     38      -      -      -      -   2104      0    python         
 20260414    10:40:17       0    1119772     C     55     43      -      -      -      -   2104      0    python         
